Model year,Make,Model,Vehicle class,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),Range (km),CO2 rating ,Recharge time (h)
2017,BMW,i3 (60 Ah),Subcompact,15.2,18.8,16.8,130,10.0,4
2017,BMW,i3 (94 Ah),Subcompact,16.2,19.7,17.8,183,10.0,5
2017,Chevrolet,Bolt EV,Station wagon: Small,16.4,19.0,17.6,383,10.0,9
2017,Ford,Focus Electric,Compact,17.7,21.8,19.6,185,10.0,5
2017,Hyundai,IONIQ Electric,Mid-size,13.7,17.4,15.5,200,10.0,4
2017,Kia,Soul EV,Station wagon: Small,17.4,23.0,19.9,150,10.0,4
2017,Mitsubishi,i-MiEV,Subcompact,16.9,20.5,18.7,100,10.0,7
2017,Nissan,LEAF,Mid-size,17.0,20.7,18.6,172,10.0,6
2017,Tesla,Model S (60 kWh),Full-size,21.5,20.7,21.1,338,10.0,10
2017,Tesla,Model S (75 kWh),Full-size,21.5,21.0,21.3,401,10.0,12
2017,Tesla,Model S 60D,Full-size,20.6,19.6,20.2,351,10.0,10
2017,Tesla,Model S 75D,Full-size,20.6,19.9,20.3,417,10.0,12
2017,Tesla,Model S 90D,Full-size,20.6,19.7,20.2,473,10.0,12
2017,Tesla,Model S 100D,Full-size,20.7,20.5,20.6,539,10.0,12
2017,Tesla,Model S P90D,Full-size,22.8,20.9,22.0,435,10.0,12
2017,Tesla ,Model S P100D,Full-size,22.6,20.0,21.5,507,10.0,12
2017,Tesla ,Model X 60D,Sport utility vehicle: Standard,23.0,22.2,22.6,322,10.0,10
2017,Tesla ,Model X 75D,Sport utility vehicle: Standard,23.0,21.9,22.5,383,10.0,12
2017,Tesla ,Model X 90D,Sport utility vehicle: Standard,23.2,22.2,22.7,414,10.0,12
2017,Tesla ,Model X 100D,Sport utility vehicle: Standard,24.3,23.7,24.0,475,10.0,12
2017,Tesla ,Model X P90D,Sport utility vehicle: Standard,23.6,23.3,23.5,402,10.0,12
2017,Tesla ,Model X P100D,Sport utility vehicle: Standard,25.7,22.9,24.4,465,10.0,12
2017,Volkswagen,e-Golf,Compact,16.8,18.6,17.4,201,10.0,5
2018,BMW,i3,Subcompact,16.2,19.7,17.8,183,10.0,5
2018,BMW,i3s,Subcompact,17.1,21.1,18.9,172,10.0,5
2018,Chevrolet,Bolt EV,Station wagon: Small,16.4,19.0,17.6,383,10.0,9
2018,Ford,Focus Electric,Compact,17.7,21.8,19.6,185,10.0,5
2018,Hyundai,IONIQ Electric,Mid-size,13.7,17.4,15.5,200,10.0,4
2018,Kia,Soul EV,Station wagon: Small,16.8,22.4,19.3,179,10.0,5
2018,Nissan,LEAF,Mid-size,16.9,21.1,18.8,242,10.0,8
2018,smart,fortwo electric drive cabriolet,Two-seater,18.7,23.1,20.7,92,10.0,3
2018,smart,fortwo electric drive coupe,Two-seater,16.9,22.3,19.3,93,10.0,3
2018,Tesla,Model 3 Mid Range,Mid-size,16.4,17.9,17.1,418,10.0,10
2018,Tesla,Model 3 Long Range,Mid-size,15.3,17.0,16.1,499,10.0,10
2018,Tesla,Model 3 Long Range AWD,Mid-size,17.4,18.7,18.0,499,10.0,10
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,17.4,18.7,18.0,499,10.0,10
